date,benchmark,etf,sector_name,provider,rank,universe_size,price,return_5d,return_20d,return_60d,benchmark_return_5d,benchmark_return_20d,benchmark_return_60d,relative_return_5d,relative_return_20d,relative_return_60d,rs_ratio,rs_change_5d,rs_change_20d,rs_high_20d,rs_high_60d,rs_ma_20,ma_20,ma_50,ma_200,above_ma_20,above_ma_50,above_ma_200,ma_bullish_alignment,moving_average_state,volume,volume_average_period,volume_ma,volume_ma_20,volume_ratio,outperform_days_5d,underperform_days_5d,rsi_period,rsi,rsi_14,volatility_period,volatility,volatility_20d,leadership_participant,sigma_available,sigma_session_date,sigma_generated_at,sigma_price,sigma_previous_close,sigma_anchor,sigma_percent,sigma_zscore,sigma_status,sigma_interpretation,signal,signal_reason,generated_at_utc
2026-09-03,QQQ,XLY,경기소비재,yfinance (Yahoo Finance),9.0,11.0,116.45999908447266,0.0050051936900401,-0.0138865318445182,0.0070946902146913,-0.0047704268576022,0.0042257865989296,0.0150158541398417,0.0097756205476423,-0.0181123184434479,-0.0079211639251504,0.1622751429734132,0.0098224779603126,-0.0180361017264752,False,False,0.1636340634762521,117.43549880981443,116.21739959716795,116.66613193511962,False,True,False,False,정배열 아님 · 20일선 아래/50일선 위/200일선 아래,5658600,20.0,5005745.0,5005745.0,1.1304211461031275,3.0,2.0,14.0,49.41792838834176,49.41792838834176,20.0,0.1683458655390385,0.1683458655390385,False,,,,,,,,,,,개선 중,"XLY는 QQQ 대비 20일 상대수익률이 아직 -1.8%이지만, 5일 상대수익률이 +1.0%로 중기 값보다 빠르게 개선돼 개선 중으로 판정됐습니다.",2026-09-04T19:58:09+00:00
2026-09-04,QQQ,CIBR,사이버보안,yfinance (Yahoo Finance),9.0,11.0,94.58999633789062,-0.0402800458506805,-0.0333163228111103,0.1371932100261879,0.0035314396699468,-0.0056290985979886,0.037567358096902,-0.0438114855206274,-0.0276872242131216,0.0996258519292858,0.1315650292743093,-0.0436573123558906,-0.0278439606127695,False,False,0.1351912766004084,97.01399955749513,93.86199996948244,77.27249523162841,False,True,True,True,정배열 · 20일선 아래/50일선 위/200일선 위,1046200,20.0,1711335.0,1711335.0,0.611335594725755,2.0,3.0,14.0,48.42767832453871,48.42767832453871,20.0,0.4157595980655899,0.4157595980655899,False,False,,,,,,,,,,약화,"CIBR는 최근 20거래일 안에 강한 주도 조건을 보였지만, 현재 RS 비율이 20일선 아래로 내려갔기 때문에 모멘텀 약화로 판정됐습니다.",2026-09-09T01:27:01+00:00
2026-09-04,QQQ,IGV,소프트웨어,yfinance (Yahoo Finance),4.0,11.0,104.56999969482422,-0.0450228338372217,0.0183075003283856,0.1420572430175204,0.0035314396699468,-0.0056290985979886,0.037567358096902,-0.0485542735071685,0.0239365989263743,0.1044898849206183,0.1454461951972084,-0.0483834104122714,0.0240721031685711,False,False,0.1457917754362878,104.60099983215332,97.93539978027344,93.622600440979,False,True,True,True,정배열 · 20일선 아래/50일선 위/200일선 위,12209900,20.0,11540470.0,11540470.0,1.05800716955202,2.0,3.0,14.0,53.569213372607,53.569213372607,20.0,0.4079060767036327,0.4079060767036327,False,False,,,,,,,,,,약화,"IGV는 최근 20거래일 안에 강한 주도 조건을 보였지만, 현재 RS 비율이 20일선 아래로 내려갔기 때문에 모멘텀 약화로 판정됐습니다.",2026-09-09T01:27:01+00:00
2026-09-04,QQQ,IWM,중소형주,yfinance (Yahoo Finance),7.0,11.0,296.010009765625,0.0008791538989856,-0.0184042573215977,0.0519906809842254,0.0035314396699468,-0.0056290985979886,0.037567358096902,-0.0026522857709612,-0.0127751587236091,0.0144233228873233,0.4117197072424744,-0.002642952344207,-0.01284747844652,False,False,0.4165369032443752,298.8655014038086,297.01400085449217,271.979048538208,False,False,True,True,정배열 · 20일선 아래/50일선 아래/200일선 위,13951100,20.0,16718205.0,16718205.0,0.8344855204251892,3.0,2.0,14.0,48.16352654422048,48.16352654422048,20.0,0.1213895536702804,0.1213895536702804,False,False,,,,,,,,,,개선 중,"IWM는 QQQ 대비 20일 상대수익률이 아직 -1.3%이지만, 5일 상대수익률이 -0.3%로 중기 값보다 빠르게 개선돼 개선 중으로 판정됐습니다.",2026-09-09T01:27:01+00:00
2026-09-04,QQQ,SKYY,클라우드,yfinance (Yahoo Finance),3.0,11.0,161.55999755859375,-0.0216785869219222,0.0345136674959649,0.2090098904080306,0.0035314396699468,-0.0056290985979886,0.037567358096902,-0.0252100265918691,0.0401427660939536,0.1714425323111286,0.2247134647560949,-0.0251213121934281,0.0403700128768396,False,False,0.2260639972829353,162.20649948120118,148.45399993896484,129.57720008850097,False,True,True,True,정배열 · 20일선 아래/50일선 위/200일선 위,155100,20.0,253000.0,253000.0,0.6130434782608696,2.0,3.0,14.0,56.34625342802819,56.34625342802819,20.0,0.315609336988248,0.315609336988248,False,False,,,,,,,,,,약화,"SKYY는 최근 20거래일 안에 강한 주도 조건을 보였지만, 현재 RS 비율이 20일선 아래로 내려갔기 때문에 모멘텀 약화로 판정됐습니다.",2026-09-09T01:27:01+00:00
2026-09-04,QQQ,SMH,반도체,yfinance (Yahoo Finance),8.0,11.0,567.010009765625,0.0251306698164697,-0.0269263808352755,-0.0068311354895861,0.0035314396699468,-0.0056290985979886,0.037567358096902,0.0215992301465228,-0.0212972822372868,-0.0443984935864881,0.7886530438923205,0.0215232221858705,-0.0214178454008044,False,False,0.7879263642817951,565.4189971923828,573.9660003662109,477.2703256225586,True,False,True,False,정배열 아님 · 20일선 위/50일선 아래/200일선 위,9451200,20.0,6812685.0,6812685.0,1.387294436774928,3.0,2.0,14.0,51.15881466647576,51.15881466647576,20.0,0.3122418506849495,0.3122418506849495,False,False,,,,,,,,,,개선 중,"SMH는 QQQ 대비 20일 상대수익률이 아직 -2.1%이지만, 5일 상대수익률이 +2.2%로 중기 값보다 빠르게 개선돼 개선 중으로 판정됐습니다.",2026-09-09T01:27:01+00:00
2026-09-04,QQQ,XLC,커뮤니케이션 서비스,yfinance (Yahoo Finance),6.0,11.0,112.02999877929688,-0.0084963191664992,0.0070112249824438,0.0118137766021515,0.0035314396699468,-0.0056290985979886,0.037567358096902,-0.0120277588364461,0.0126403235804325,-0.0257535814947504,0.1558222924160832,-0.0119854330028782,0.0127118800063541,False,False,0.1558502079971122,111.81249961853028,110.5877995300293,113.60727443695068,True,True,False,False,정배열 아님 · 20일선 위/50일선 위/200일선 아래,2689600,20.0,3987220.0,3987220.0,0.674555203876385,2.0,3.0,14.0,51.78524167909356,51.78524167909356,20.0,0.168985556178062,0.168985556178062,False,False,,,,,,,,,,중립,"XLC의 QQQ 대비 상대수익률은 5일 -1.2%, 20일 +1.3%, 60일 -2.6%이며, 현재는 다른 명시적 조건을 충족하지 않아 중립으로 판정됐습니다.",2026-09-09T01:27:01+00:00
2026-09-04,QQQ,XLE,에너지,yfinance (Yahoo Finance),1.0,11.0,64.05999755859375,0.0220165482881149,0.1140869140625,0.1076735058626485,0.0035314396699468,-0.0056290985979886,0.037567358096902,0.0184851086181681,0.1197160126604887,0.0701061477657465,0.0891009174374233,0.0184200592900685,0.1203937207853682,False,False,0.0876431164637099,62.871000099182126,59.20300025939942,54.37358102798462,True,True,True,True,정배열 · 20일선 위/50일선 위/200일선 위,26281800,20.0,25691570.0,25691570.0,1.0229736835857053,3.0,2.0,14.0,63.18041904127176,63.18041904127176,20.0,0.2159540764828137,0.2159540764828137,True,False,,,,,,,,,,중립,"XLE의 QQQ 대비 상대수익률은 5일 +1.8%, 20일 +12.0%, 60일 +7.0%이며, 현재는 다른 명시적 조건을 충족하지 않아 중립으로 판정됐습니다.",2026-09-09T01:27:01+00:00
2026-09-04,QQQ,XLF,금융,yfinance (Yahoo Finance),5.0,11.0,58.09999847412109,0.0,0.0086805557855118,0.1162842002329818,0.0035314396699468,-0.0056290985979886,0.037567358096902,-0.0035314396699468,0.0143096543835005,0.0787168421360797,0.0808111671003742,-0.003519012489642,0.014390660832215,False,False,0.0806523924638012,57.863999938964845,56.85840003967285,53.21976127624512,True,True,True,True,정배열 · 20일선 위/50일선 위/200일선 위,26345200,20.0,27737545.0,27737545.0,0.9498028754888004,3.0,2.0,14.0,55.51453661363705,55.51453661363705,20.0,0.1207890878966338,0.1207890878966338,True,False,,,,,,,,,,중립,"XLF의 QQQ 대비 상대수익률은 5일 -0.4%, 20일 +1.4%, 60일 +7.9%이며, 현재는 다른 명시적 조건을 충족하지 않아 중립으로 판정됐습니다.",2026-09-09T01:27:01+00:00
2026-09-04,QQQ,XLI,산업재,yfinance (Yahoo Finance),11.0,11.0,175.27000427246094,-0.010556594352663,-0.053515437926769,0.035607830790812,0.0035314396699468,-0.0056290985979886,0.037567358096902,-0.0140880340226099,-0.0478863393287803,-0.0019595273060899,0.2437826845942859,-0.0140384580549298,-0.0481574222066063,False,False,0.251162236805332,180.2245002746582,181.1887997436524,170.19579467773437,False,False,True,False,정배열 아님 · 20일선 아래/50일선 아래/200일선 위,5841600,20.0,6318435.0,6318435.0,0.9245327363500614,1.0,4.0,14.0,38.92361955962639,38.92361955962639,20.0,0.1228146498139055,0.1228146498139055,False,False,,,,,,,,,,약세,"XLI는 QQQ 대비 20일 상대수익률이 -4.8%, 60일 상대수익률이 -0.2%이고, 현재 가격 175.27가 20일선(180.22)과 50일선(181.19) 아래라 약세로 판정됐습니다.",2026-09-09T01:27:01+00:00
2026-09-04,QQQ,XLV,헬스케어,yfinance (Yahoo Finance),2.0,11.0,171.4499969482422,0.001694281841132,0.0348261982589064,0.1266347571299626,0.0035314396699468,-0.0056290985979886,0.037567358096902,-0.0018371578288147,0.040455296856895,0.0890673990330606,0.2384694443479958,-0.0018306928474697,0.0406843128654059,False,False,0.2388128016846584,171.31249771118163,165.72799926757813,154.5478946685791,True,True,True,True,정배열 · 20일선 위/50일선 위/200일선 위,6083000,20.0,7383165.0,7383165.0,0.823901402718211,2.0,3.0,14.0,55.52972715219661,55.52972715219661,20.0,0.1906688043713837,0.1906688043713837,False,False,,,,,,,,,,중립,"XLV의 QQQ 대비 상대수익률은 5일 -0.2%, 20일 +4.0%, 60일 +8.9%이며, 현재는 다른 명시적 조건을 충족하지 않아 중립으로 판정됐습니다.",2026-09-09T01:27:01+00:00
2026-09-04,QQQ,XLY,경기소비재,yfinance (Yahoo Finance),10.0,11.0,114.91000366210938,-0.0196228601683179,-0.041298155540095,0.0145297875261236,0.0035314396699468,-0.0056290985979886,0.037567358096902,-0.0231542998382647,-0.0356690569421064,-0.0230375705707783,0.1598280852206823,-0.023072819567945,-0.0358709782152866,False,False,0.1633367386559428,117.18799896240236,116.24859970092774,116.6722894668579,False,False,False,False,정배열 아님 · 20일선 아래/50일선 아래/200일선 아래,5120000,20.0,5007880.0,5007880.0,1.022388715384554,2.0,3.0,14.0,44.58446500161063,44.58446500161063,20.0,0.1635028155840902,0.1635028155840902,False,False,,,,,,,,,,약세,"XLY는 QQQ 대비 20일 상대수익률이 -3.6%, 60일 상대수익률이 -2.3%이고, 현재 가격 114.91가 20일선(117.19)과 50일선(116.25) 아래라 약세로 판정됐습니다.",2026-09-09T01:27:01+00:00
2026-09-08,QQQ,CIBR,사이버보안,yfinance (Yahoo Finance),11.0,11.0,94.01000213623048,-0.0613080309146261,-0.0655069228414141,0.1008639341079713,0.0022322333335262,-0.0034819173812566,0.0028299999420606,-0.0635402642481524,-0.0620250054601574,0.0980339341659106,0.1308675372421006,-0.0633987434596982,-0.0622417260077833,False,False,0.1347569737730039,96.6844997406006,94.035,77.37834751129151,False,False,True,True,정배열 · 20일선 아래/50일선 아래/200일선 위,1148500,20.0,1661050.0,1661050.0,0.6914301195027241,1.0,4.0,14.0,47.33043622469346,47.33043622469346,20.0,0.4010671724398031,0.4010671724398031,False,False,,,,,,,,,,약화,"CIBR는 최근 20거래일 안에 강한 주도 조건을 보였지만, 현재 RS 비율이 20일선 아래로 내려갔고, 최근 5거래일 중 4일 QQQ를 언더퍼폼했기 때문에 모멘텀 약화로 판정됐습니다.",2026-09-10T01:23:09+00:00
2026-09-08,QQQ,IGV,소프트웨어,yfinance (Yahoo Finance),8.0,11.0,102.66000366210938,-0.0665575511128836,-0.0223788060786097,0.1293362759961702,0.0022322333335262,-0.0034819173812566,0.0028299999420606,-0.0687897844464099,-0.018896888697353,0.1265062760541095,0.1429088559434,-0.068636571603378,-0.0189629160041872,False,False,0.1456536578933468,104.48349990844729,98.22459991455078,93.61394828796386,False,True,True,True,정배열 · 20일선 아래/50일선 위/200일선 위,12890300,20.0,11728960.0,11728960.0,1.0990147464054785,1.0,4.0,14.0,49.9726015011437,49.9726015011437,20.0,0.405279625466705,0.405279625466705,False,False,,,,,,,,,,약화,"IGV는 최근 20거래일 안에 강한 주도 조건을 보였지만, 현재 RS 비율이 20일선 아래로 내려갔고, 최근 5거래일 중 4일 QQQ를 언더퍼폼했기 때문에 모멘텀 약화로 판정됐습니다.",2026-09-10T01:23:09+00:00
2026-09-08,QQQ,IWM,중소형주,yfinance (Yahoo Finance),7.0,11.0,294.6700134277344,0.002517676897197,-0.017701171291829,0.0170819684633127,0.0022322333335262,-0.0034819173812566,0.0028299999420606,0.0002854435636707,-0.0142192539105723,0.0142519685212521,0.4101982563568376,0.0002848078061921,-0.0142689371709198,False,False,0.4162400122683123,298.6000015258789,296.9108013916016,272.29377243041995,False,False,True,True,정배열 · 20일선 아래/50일선 아래/200일선 위,17332400,20.0,16773480.0,16773480.0,1.033321648220882,3.0,2.0,14.0,45.92898706544157,45.92898706544157,20.0,0.1210777184021492,0.1210777184021492,False,False,,,,,,,,,,개선 중,"IWM는 QQQ 대비 20일 상대수익률이 아직 -1.4%이지만, 5일 상대수익률이 +0.0%로 중기 값보다 빠르게 개선돼 개선 중으로 판정됐습니다.",2026-09-10T01:23:09+00:00
2026-09-08,QQQ,SKYY,클라우드,yfinance (Yahoo Finance),4.0,11.0,159.6199951171875,-0.0345953873678192,-0.0072148505468128,0.1931529120471893,0.0022322333335262,-0.0034819173812566,0.0028299999420606,-0.0368276207013454,-0.0037329331655561,0.1903229121051286,0.2222005656941904,-0.0367455959571895,-0.0037459763457039,False,False,0.2260222228939075,162.14849929809571,149.05499969482423,129.73810005187988,False,True,True,True,정배열 · 20일선 아래/50일선 위/200일선 위,242000,20.0,248930.0,248930.0,0.972160848431286,1.0,4.0,14.0,53.167890987584,53.167890987584,20.0,0.3014896606047865,0.3014896606047865,False,False,,,,,,,,,,약화,"SKYY는 최근 20거래일 안에 강한 주도 조건을 보였지만, 현재 RS 비율이 20일선 아래로 내려갔고, 최근 5거래일 중 4일 QQQ를 언더퍼폼했기 때문에 모멘텀 약화로 판정됐습니다.",2026-09-10T01:23:09+00:00
2026-09-08,QQQ,SMH,반도체,yfinance (Yahoo Finance),2.0,11.0,573.72998046875,0.0307205422559597,0.0075868135929579,-0.0586102732345947,0.0022322333335262,-0.0034819173812566,0.0028299999420606,0.0284883089224334,0.0110687309742146,-0.0614402731766554,0.7986663959128637,0.0284248580068895,0.0111074060443812,False,False,0.7883650472496171,565.6349975585938,573.2084002685547,478.4776947021484,True,True,True,False,정배열 아님 · 20일선 위/50일선 위/200일선 위,8300300,20.0,6903865.0,6903865.0,1.2022685843364551,3.0,2.0,14.0,53.51425455650198,53.51425455650198,20.0,0.304541786961287,0.304541786961287,True,False,,,,,,,,,,주도 후보,"SMH의 QQQ 대비 20일 상대수익률이 전일 -2.1%에서 +1.1%로 양수 전환했고, RS 비율의 5일 변화율도 +2.8%로 상승해 주도 후보로 판정됐습니다.",2026-09-10T01:23:09+00:00
2026-09-08,QQQ,XLC,커뮤니케이션 서비스,yfinance (Yahoo Finance),3.0,11.0,111.5199966430664,0.0005382878080617,-0.0027721110874755,-0.0027638789026435,0.0022322333335262,-0.0034819173812566,0.0028299999420606,-0.0016939455254645,0.0007098062937811,-0.0055938788447041,0.155242495290838,-0.0016901726657009,0.0007122864162341,False,False,0.1558557329178171,111.79699935913088,110.6945994567871,113.61084239959716,False,True,False,False,정배열 아님 · 20일선 아래/50일선 위/200일선 아래,5657900,20.0,4057265.0,4057265.0,1.394510834268898,2.0,3.0,14.0,49.99671689561192,49.99671689561192,20.0,0.1688540378723011,0.1688540378723011,False,False,,,,,,,,,,중립,"XLC의 QQQ 대비 상대수익률은 5일 -0.2%, 20일 +0.1%, 60일 -0.6%이며, 현재는 다른 명시적 조건을 충족하지 않아 중립으로 판정됐습니다.",2026-09-10T01:23:09+00:00
2026-09-08,QQQ,XLE,에너지,yfinance (Yahoo Finance),1.0,11.0,64.7699966430664,0.0126641271136351,0.0762711252013048,0.1421061326535746,0.0022322333335262,-0.0034819173812566,0.0028299999420606,0.0104318937801088,0.0797530425825615,0.1392761327115139,0.0901637033852438,0.0104086592240315,0.0800317063720299,False,False,0.0879771786487443,63.10049991607666,59.42160018920899,54.47477617263794,True,True,True,True,정배열 · 20일선 위/50일선 위/200일선 위,28088200,20.0,25412090.0,25412090.0,1.105308536212488,3.0,2.0,14.0,66.23169284563457,66.23169284563457,20.0,0.1542779363518581,0.1542779363518581,True,False,,,,,,,,,,중립,"XLE의 QQQ 대비 상대수익률은 5일 +1.0%, 20일 +8.0%, 60일 +13.9%이며, 현재는 다른 명시적 조건을 충족하지 않아 중립으로 판정됐습니다.",2026-09-10T01:23:09+00:00
2026-09-08,QQQ,XLF,금융,yfinance (Yahoo Finance),6.0,11.0,57.29999923706055,-0.007104485425688,-0.0088220398566898,0.092754068750561,0.0022322333335262,-0.0034819173812566,0.0028299999420606,-0.0093367187592143,-0.0053401224754331,0.0899240688085003,0.0797650208885426,-0.0093159234443694,-0.005358781309216,False,False,0.0806309051528475,57.83849983215332,56.933000030517576,53.25250377655029,False,True,True,True,정배열 · 20일선 아래/50일선 위/200일선 위,38239200,20.0,28346780.0,28346780.0,1.348978614149473,3.0,2.0,14.0,48.040529547567736,48.040529547567736,20.0,0.1301520875591665,0.1301520875591665,False,False,,,,,,,,,,중립,"XLF의 QQQ 대비 상대수익률은 5일 -0.9%, 20일 -0.5%, 60일 +9.0%이며, 현재는 다른 명시적 조건을 충족하지 않아 중립으로 판정됐습니다.",2026-09-10T01:23:09+00:00
